customer_id,full_name,email,signup_date,age,annual_spend,is_active
1,Customer 1,customer1@example.com,2023-01-01,58,397.84,True
2,Customer 2,customer2@example.com,2023-01-04,48,483.82,True
3,Customer 3,customer3@example.com,2023-01-07,34,446.64,False
4,Customer 4,customer4@example.com,2023-01-10,62,499.45,True
5,Customer 5,customer5@example.com,2023-01-13,27,477.05,False
6,Customer 6,customer6@example.com,2023-01-16,40,538.93,True
7,Customer 7,customer7@example.com,2023-01-19,58,373.49,True
8,Customer 8,customer8@example.com,2023-01-22,38,609.2,True
9,Customer 9,customer9@example.com,2023-01-25,42,777.83,False
10,Customer 10,customer10@example.com,2023-01-28,30,619.36,False
11,Customer 11,customer11@example.com,2023-01-31,30,521.86,False
12,Customer 12,customer12@example.com,2023-02-03,43,588.18,False
13,Customer 13,customer13@example.com,2023-02-06,55,399.09,True
14,Customer 14,customer14@example.com,2023-02-09,59,341.67,False
15,Customer 15,customer15@example.com,2023-02-12,43,577.37,True
16,Customer 16,customer16@example.com,2023-02-15,22,446.19,True
17,Customer 17,customer17@example.com,2023-02-18,41,365.33,False
18,Customer 18,customer18@example.com,2023-02-21,21,411.94,False
19,Customer 19,customer19@example.com,2023-02-24,43,386.94,False
20,Customer 20,customer20@example.com,2023-02-27,63,513.44,False
21,Customer 21,customer21@example.com,2023-03-02,49,558.21,False
22,Customer 22,customer22@example.com,2023-03-05,57,588.77,False
23,Customer 23,customer23@example.com,2023-03-08,21,589.43,False
24,Customer 24,customer24@example.com,2023-03-11,40,575.5,False
25,Customer 25,customer25@example.com,2023-03-14,52,479.28,True
26,Customer 26,customer26@example.com,2023-03-17,31,437.65,False
27,Customer 27,customer27@example.com,2023-03-20,41,349.18,False
28,Customer 28,customer28@example.com,2023-03-23,63,609.96,True
29,Customer 29,customer29@example.com,2023-03-26,44,482.23,False
30,Customer 30,customer30@example.com,2023-03-29,46,458.96,True
31,Customer 31,customer31@example.com,2023-04-01,61,617.97,True
32,Customer 32,customer32@example.com,2023-04-04,47,410.18,False
33,Customer 33,customer33@example.com,2023-04-07,35,583.48,True
34,Customer 34,customer34@example.com,2023-04-10,34,529.66,True
35,Customer 35,customer35@example.com,2023-04-13,63,396.22,True
36,Customer 36,customer36@example.com,2023-04-16,22,492.42,True
37,Customer 37,customer37@example.com,2023-04-19,56,597.3,False
38,Customer 38,customer38@example.com,2023-04-22,26,579.56,True
39,Customer 39,customer39@example.com,2023-04-25,40,649.54,False
40,Customer 40,customer40@example.com,2023-04-28,28,533.82,True
41,Customer 41,customer41@example.com,2023-05-01,58,837.23,True
42,Customer 42,customer42@example.com,2023-05-04,37,407.96,True
43,Customer 43,customer43@example.com,2023-05-07,23,460.14,True
44,Customer 44,customer44@example.com,2023-05-10,44,493.91,False
45,Customer 45,customer45@example.com,2023-05-13,33,358.12,False
46,Customer 46,customer46@example.com,2023-05-16,28,604.25,True
47,Customer 47,customer47@example.com,2023-05-19,45,590.35,True
48,Customer 48,customer48@example.com,2023-05-22,21,501.9,False
49,Customer 49,customer49@example.com,2023-05-25,39,446.56,True
50,Customer 50,customer50@example.com,2023-05-28,47,350.49,True
